Index,Price_1,Price_2,Price_3,Price_4,Price_5
334,986.4,1020.8,1060.6,962.8,1002.0
335,986.4,1021.8,1056.6,961.8,1001.0
336,987.4,1022.8,1055.6,960.8,1002.3
337,987.8,1023.8,1054.6,959.8,1006.3
338,988.4,1024.8,1053.6,963.8,1007.3
339,985.2,1025.8,1054.0,959.8,1007.0
340,984.6,1026.8,1058.0,958.8,1007.0
341,988.5,1027.4,1054.2,958.8,1008.0
342,984.5,1023.6,1053.2,958.8,1008.4
343,983.5,1026.8,1052.2,962.2,1009.4
344,982.5,1027.2,1058.2,963.2,1010.4
345,982.8,1027.4,1055.6,964.2,1010.8
346,986.6,1027.4,1051.6,965.2,1006.9
347,986.6,1023.5,1051.8,966.2,1010.8
348,986.6,1022.9,1050.8,958.2,1011.8
349,987.6,1026.9,1049.8,966.4,1011.9
350,988.6,1027.9,1048.8,962.4,1008.7
351,989.6,1028.9,1047.8,961.4,1007.7
352,990.6,1029.9,1046.9,960.4,1011.6
353,986.9,1030.0,1050.9,960.5,1012.4
354,986.8,1026.0,1051.9,959.5,1012.8
355,985.8,1025.0,1052.9,959.5,1013.4
356,985.4,1025.5,1048.8,958.5,1009.4
357,984.4,1025.0,1052.8,957.5,1008.4
358,987.4,1028.5,1053.8,961.5,1008.3
359,988.4,1029.5,1054.8,957.5,1007.3
360,984.9,1030.2,1055.8,957.4,1006.3
361,983.9,1031.2,1055.6,956.4,1005.3
362,987.2,1032.2,1056.6,959.6,1004.3
363,987.2,1033.2,1057.6,955.6,1004.0
364,988.2,1034.2,1051.6,954.6,1007.4
365,989.2,1030.2,1050.6,954.4,1007.4
366,990.2,1034.2,1049.6,954.0,1008.4
367,991.2,1035.2,1048.6,953.0,1009.4
368,992.2,1030.3,1055.3,952.0,1006.2
369,993.2,1034.3,1055.3,955.9,1006.1
370,993.8,1035.3,1056.3,956.9,1006.0
371,993.8,1035.5,1057.3,951.9,1005.9
372,990.6,1035.5,1058.3,950.9,1009.2
373,990.4,1035.9,1059.3,950.9,1005.8
374,990.4,1036.8,1060.3,949.9,1005.0
375,990.4,1037.4,1060.8,948.9,1004.3
376,989.9,1038.4,1060.8,947.9,1008.3
377,988.9,1039.4,1061.8,946.9,1009.3
378,988.4,1039.5,1062.8,951.3,1010.0
379,987.4,1039.9,1063.0,947.5,1006.4
380,987.3,1036.2,1064.0,951.5,1006.4
381,986.3,1036.2,1065.0,951.7,1005.4
382,990.0,1035.2,1065.0,947.7,1008.6
383,991.0,1034.2,1066.0,946.7,1009.0
384,991.4,1038.1,1067.0,945.7,1005.9
385,992.4,1035.0,1067.2,944.7,1009.9
386,988.6,1034.4,1068.2,943.7,1010.9
387,992.6,1034.4,1069.2,942.7,1011.2
388,988.6,1033.6,1070.2,941.7,1007.2
389,988.2,1032.6,1071.2,940.7,1011.2
390,992.0,1036.4,1072.2,939.7,1007.2
391,988.0,1032.4,1068.5,939.5,1006.2
392,987.0,1036.1,1072.5,943.5,1011.2
393,987.0,1036.9,1073.5,939.0,1012.2
394,990.1,1033.0,1070.0,938.0,1013.2
395,991.1,1037.0,1074.0,938.0,1012.8
396,992.1,1037.0,1074.0,937.0,1008.8
397,988.2,1033.2,1070.1,936.0,1007.8
398,988.0,1036.3,1073.7,935.0,1006.8
